Part No.,MODEL,S/N,配件,BIN ID,Status,狀態,借用人,"借用單
編號",出借人,借用日,到期日,入庫日期,備註,"最後
盤點日",Sales Requester,Purpose
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F52FF5,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F374,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F57FAF,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F359,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F51D88,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5FB4D,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60A7D,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F364,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F36B,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5891C,,C1-53,S,4,,,,,,2014/10/20,,2019/7/29,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5891D,,C1-51,S,4,,,,,,2014/10/20,,2019/1/29,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F57F8E,,B4-34,S,4,,,,,,2014/10/20,,2019/5/29,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB5649143,,庫-ISR(02)-Eric C,V,4,,,,,,2013/2/1,,2015/9/16,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB5649171,,庫-ISR(02)-Eric C,V,4,,,,,,2013/2/1,,2015/9/16,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB5649149,,庫-ISR(02)-Eric C,V,4,,,,,,2013/2/1,,2015/9/16,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB5649169,,庫-ISR(02)-Eric C,V,4,,,,,,2013/2/1,,2015/9/16,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F47209,,庫-ISR(01)-Eason,V,4,,,,,,2014/1/3,,2016/12/14,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F471F9,,庫-ISR(01)-Eason,V,4,,,,,,2014/1/3,,2016/12/14,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60528,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/5/23,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F62398,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F61E39,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F62197,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5D76B,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F61E41,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F6050D,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60541,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F621C4,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F6218E,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60EA5,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60E99,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F61E48,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60E94,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F60504,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F61E46,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F621DA,,庫-AC-Blake,V,4,,,,,,2014/12/30,,2019/3/15,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5891F,,A1-45,S,4,,,,,,2014/10/20,,2019/1/29,,
ZFRSC-183-S+,1對2Combiner (DC~18G),SF314301231-02,,左1,L,2,Derek H,,Vivian H,2016/12/26,,2012/9/19,,2015/9/16,,
ZFRSC-183-S+,1對2Combiner (DC~18G),SF314301231-04,,左1,L,2,Derek H,,Vivian H,2016/12/26,,2012/9/19,,2015/9/16,,
ZFRSC-183-S+,1對2Combiner (DC~18G),SF314301231-05,,左1,L,2,Derek H,,Vivian H,2016/12/26,,2012/9/19,,2015/9/16,,
ZFRSC-183-S+,1對2Combiner (DC~18G),SF314301231-06,,左1,S,4,,,,,,2012/9/19,,2019/5/17,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19031679,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19031697,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19031684,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19031680,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19021326,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19021322,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19021324,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19021321,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19021320,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
