Part No.,MODEL,S/N,配件,BIN ID,Status,狀態,借用人,"借用單
編號",出借人,借用日,到期日,入庫日期,備註,"最後
盤點日",Sales Requester,Purpose
"781157-01
779473-01",cDAQ-9174+9901,"188EAB4
HB6669531","1.Power Supply*1(S/N:C33921911302)
2.USB Cable*1
3.電源線*1",緯宇／劉?甫,V,4,,,,,,"2013/07/25
2013/07/25",,,,
"781157-01
779473-01",cDAQ-9174+9901,"1B946C4
HC2761821","1.Power Supply*1(S/N:C45229831531)
2.USB Cable*1",ISE(06)-Erika,V,4,,,,,,2016/9/26,,2016/10/5,,
"781157-01
779473-01",cDAQ-9174+9901,"1B94733
HC2761820","1.Power Supply*1(S/N:C45293561531)
2.USB Cable*1",ISE(05)-Anderson,V,4,,,,,,2016/9/26,,2018/10/19,,
"781157-01
779473-01",cDAQ-9174+9901,"1B94679
HC2761792","1.Power Supply*1(S/N:C45289331531)
2.USB Cable*1",ISE(04)-Brian Y,V,4,,,,,,2016/9/26,,2018/6/5,,
"781157-01
779473-01",cDAQ-9174+9901,"1B8080C
HC2761793","1.Power Supply*1(S/N:C45289011531)
2.USB Cable*1",ISE(03)-Robert,V,4,,,,,,2016/9/26,,2018/1/31,,
"781157-01
779473-01",cDAQ-9174+9901,"1B946BD
HC2761794","1.Power Supply*1(S/N:C45281381531)
2.USB Cable*1",ISE(02)-Angus,V,4,,,,,,2016/9/26,,2019/10/22,,
"781157-01
779473-01",cDAQ-9174+9901,"1B9468B
HC2761823","1.Power Supply*1(S/N:C45281131531)
2.USB Cable*1",ISE(01)-Frank,V,4,,,,,,2016/9/26,,2019/1/24,,
781156-01,cDAQ-9178,145B163,"1.Power Supply*1(S/N:05994837 0924) 2017/7/12 遺失
2.USB Cable*1 2017/7/12 遺失",庫-ME-Kevin,V,4,,,,,,2009/10/16,,2017/8/2,,
781156-01,cDAQ-9178,15E2A54,"1.Power Supply*1(S/N:C2610628 1047)
2.USB Cable*1",庫-ISR(02)-Eric C,V,00,艾銳儀器／鍾卓吾,190620-111815,Erika,2019/6/20,2019/7/23,2011/8/23,,2019/1/16,,
781156-01,cDAQ-9178,15F0F0B,"1.Power Supply*1(S/N:C2610631 1047)
2.USB Cable*1",庫-ISR(01)-Eason,V,4,,,,,,2011/8/23,,2019/11/19,,
781156-01,cDAQ-9178,14602C4,"1.Power Supply*1(S/N:05994835 0924)
2.USB Cable*1",S1,V,00,復盛應用科技／陳廷彰,191101-161925,Anderson,2019/11/1,2019/12/4,2009/10/16,,2019/10/8,,
781156-01,cDAQ-9178,14602B1,"1.Power Supply*1(S/N:05994820 0924)
2.USB Cable*1",S1,V,2,Harvey,,Vivian H,2016/12/13,,2009/10/16,,2016/11/25,,
781156-01,cDAQ-9178,17F600D,"1.Power Supply*1(S/N:C3196156 1227)
2.USB Cable*1",FSE(N9)-Sean,V,4,,,,,,2015/5/27,,2015/9/16,,
781156-01,cDAQ-9178,14E65EF,"1.Power Supply*1(S/N:C2331800 1015)
2.USB Cable*1",E3,L,00,群創光電／游劉傳,190919-095212,Kevin Y,2019/9/19,2019/10/22,2010/9/20,,2019/8/28,,
781156-01,cDAQ-9178,14602A5,"1.Power Supply*1(S/N:05594853 0924)
2.USB Cable*1
3.電源線*1",E3,L,2,Steve,,Vivian H,2010/3/17,,2009/10/16,,2010/3/17,,
781156-01,cDAQ-9178,14602D4,"1.Power Supply*1(S/N:05594849 0924)
2.USB Cable*1
3.電源線*1",E3,L,00,中冠資訊／王政道,150730-102713,Ronland,2010/5/19,2015/9/1,2009/10/16,,2010/5/19,,
781156-01,cDAQ-9178,14602AF,"1.Power Supply*1(S/N:05594841 0924)
2.USB Cable*1 2019/10/1 遺失",ADR-Andy H,V,4,,,,,,2009/10/16,,2018/3/30,,
"781156-01
779473-01",cDAQ-9178+9901,"15E29DF
HB1868454","1.Power Supply*1(S/N:C2610195 1047)
2.USB Cable*1",庫-FSE(M4)-Serena,V,00,廣達電腦／蘇達松,191112-094857,Anderson,2019/11/12,2019/12/15,"2011/07/21 
2011/06/23 ",,2017/8/29,,
"781156-01
779473-01",cDAQ-9178+9901,"15614FE
HA9779189","1.Power Supply*1(S/N:C2410241 1023)
2.USB Cable*1",FSE(M3)-Ryan,V,4,,,,,,2011/2/15,,,,
781156-01,"cDAQ-9178+9901
(9401.9219.9263.9215)",14DACAB,"1.Power Supply*1(S/N:C2304923 1009)
2.USB Cable*1
3.電源線*1",TR1,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DADCC,"1.Power Supply*1(S/N:C2305277 1009)
2.USB Cable*1
3.電源線*1",TR9,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DACBC,"1.Power Supply*1(S/N:C2305281 1009)
2.USB Cable*1
3.電源線*1",TR8,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DAD3D,"1.Power Supply*1(S/N:C2304851 1009)
2.USB Cable*1
3.電源線*1",TR7,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DACE9,"1.Power Supply*1(S/N:C2305041 1009)
2.USB Cable*1
3.電源線*1",TR6,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DAD38,"1.Power Supply*1(S/N:C2305569 1009)
2.USB Cable*1
3.電源線*1",TR5,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DAD96,"1.Power Supply*1(S/N:C2305008 1009)
2.USB Cable*1
3.電源線*1",TR4,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DAD40,"1.Power Supply*1(S/N:C2304830 1009)
2.USB Cable*1
3.電源線*1",TR3,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DAD0D,"1.Power Supply*1(S/N:C2305260 1009)
2.USB Cable*1
3.電源線*1",TR2,V,4,,,,,,2010/6/15,,,,
781156-01,"cDAQ-9178+Power Supply+USB Cable+9901
(9401.9219.9263.9215)",14DADB8,"1.Power Supply*1(S/N:C2304952 1009)
2.USB Cable*1
3.電源線*1",TR0,V,4,,,,,,2010/6/15,,2016/1/21,,
783597-01,cDAQ-9179,1A8F9E2,"Power Supply(C47375201551)*1
157930A-02 USB Cable*1",鐵架,L,2,Lupin,,Vivian H,2018/6/11,,2015/9/23,2017/2/2 PWS & USB Cable遺失購新(原S/N:09990660 1526),2018/1/25,,
782069-01,cDAQ-9184,18202A8,Power Supply*1(S/N:C3249511 1234),S1,V,2,Derek H,,Vivian H,2018/8/21,,2013/3/18,,2018/8/9,,
782069-01,cDAQ-9184,1A8C7EB,Power Supply*1(S/N:C40932291441),ISE(04)-Brian Y,V,4,,,,,,2016/9/26,,2019/10/31,,
785064-01,cDAQ-9185,1C30542,Power Supply*1(S/N:C49015791621),庫-ME-John W,V,2,Howard,,Vivian H,2019/10/21,,2017/6/15,,2018/12/12,,
785064-01,cDAQ-9185,1C30533,Power Supply*1(S/N:C49015781621),庫-ME-John W,V,2,Howard,,Vivian H,2019/10/21,,2017/6/15,,2019/5/29,,
785064-01,cDAQ-9185,1E05167,Power Supply*1(S/N:C1825014900),中保-John W,V,2,Neil,,Vivian H,2019/11/6,,2019/7/15,,2019/7/16,,
785064-01,cDAQ-9185,1E0519C,Power Supply*1(S/N:C1825017382),中保-John W,V,2,Neil,,Vivian H,2019/11/6,,2019/7/15,,2019/7/16,,
785064-01,cDAQ-9185,1E051A8,Power Supply*1(S/N:C1825017358),中保-John W,V,2,Neil,,Vivian H,2019/11/6,,2019/7/15,,2019/7/16,,
785064-01,cDAQ-9185,1E05197,Power Supply*1(S/N:C1825017399),中保-John W,V,2,Neil,,Vivian H,2019/11/6,,2019/7/15,,2019/7/16,,
785064-01,cDAQ-9185,1E00B1C,Power Supply*1(S/N:C1825014896),中保-John W,V,2,Neil,,Vivian H,2019/11/6,,2019/7/15,,2019/7/16,,
781424-01,cDAQ-9188,1557C54,Power Supply*1(S/N:C2335956 1019),S1,V,2,Jack,,Vivian H,2019/7/2,,2010/11/16,,2018/12/13,,
781424-01,cDAQ-9188,151ABC1,Power Supply*1(S/N:C2332373 1015),庫-FSE(N7)-Kevin Y,V,00,致茂電子／張元信,190605-134856,Kevin Y,2019/6/5,2019/6/28,2010/8/25,,2019/5/23,,
781424-01,cDAQ-9188,154546D,Power Supply*1(S/N:C2331249 1015),FSE(N4)-Derek H,V,4,,,,,,2010/10/27,,,,
781424-01,cDAQ-9188,154545E,Power Supply*1(S/N:C51431591652),FSE(N2)-Alexander,V,4,,,,,,2010/10/21,,2019/1/17,,
781424-01,cDAQ-9188,151ABC3,Power Supply*1(S/N:C2332405 1015),E3,L,2,Lupin,,Vivian H,2012/8/22,,2010/8/25,,2012/8/22,,
785065-01,cDAQ-9189,1C5F11F,Power Supply*1(S/N:C51679831703),ISE(07)-Steve,V,10,凱茂科技／吳惠紋,191205-164439,Robert,2019/12/5,2020/1/7,2017/7/18,,2019/6/4,,
785065-01,cDAQ-9189,1C5F13A,Power Supply*1(S/N:C51679871703),ISE(07)-Steve,V,10,凱茂科技／吳惠紋,191205-164439,Robert,2019/12/5,2020/1/7,2017/7/18,,2019/3/28,,
785065-01,cDAQ-9189,1C30545,Power Supply*1(S/N:C51674771703),庫-ME-John W,V,00,友達光電／陳信全,90828-1405461,Kevin Y,2019/8/28,2019/9/30,2017/6/15,,2019/7/12,,
785065-01,cDAQ-9189,1C30548,Power Supply*1(S/N:C51674881703),庫-ME-John W,V,2,Anderson,,Vivian H,2019/9/10,,2017/6/15,,2018/12/17,,
781497-02,cDAQ-9191,1B0489C,"747209-01 天線*1
190415B-01 Power Supply*1(S/N:C45247041531) ",庫-ME-Kevin,V,4,,,,,,2016/5/18,,2018/11/6,,
781497-02,cDAQ-9191,1749FAD,"747209-01 天線*1
Power Supply*1(S/N:C3142899 1220)2017/9/29 遺失",ADR-Welly,V,4,,,,,,2012/9/20,,2018/3/30,,
781497-02,cDAQ-9191,1629465,"747209-01 天線*1
Power Supply*1(S/N:C2715638 1109)",A3-31,S,4,,,,,,2011/9/1,,2019/11/28,,
779473-01,cDAQ-9901,HB5629977,,緯宇／劉?甫,V,4,,,,,,2013/7/25,,2013/8/19,,
779174-01,CF-6004(CB),E08612,"Book*1
CB-15*1(779198-01)
SH15-15 Cable*1(191067-0R5)",右4,S,4,,,,,,2005/4/28,,,,
779174-01,CF-6004(SCB),E048EB,"Book*1
SCB-15*1(779197-01)
SH15-15 Cable*1(191067-0R5)",A1-55,S,4,,,,,,2005/3/15,,,,
188539B-03,CFP Demo (10 set),D55CC0,,鐵架,S,4,,,,,,,,,,
,CFP Demo (11 set),CFP 3,,庫-胡惠沛,V,4,,,,,,,,,,
,CFP Demo (11 set),CFP 2,,昇暉,V,4,,,,,,,,,,
188539B-03,CFP Demo (11 set),CFP 5,,FSE(S2)-Ronland,V,4,,,,,,,,,,
778617-08,CFP Demo (13 set),132C304,,庫-FSE(N3)-Andy,V,4,,,,,,2008/2/19,,,,
,CFP Demo (13 set),CFP 4,CFP-2020 RS-232壞了,AED3,V,4,,,,,,,,,,
188539B-03,CFP Demo (15 set),CFP Demo,,鐵架,S,4,,,,,,,,,,
779490-01,CFP-1804,11D431B,,AED3,V,2,Ronland,,Vivian H,2015/7/24,,2006/5/1,,2015/7/24,,
777318-520,cFP-PWM-520,12BB78E,,C1-17,S,4,,,,,,,,,,
777318-520,cFP-PWM-520,12BB229,,C1-16,S,4,,,,,,,,,,
"198060-01
198942-01",Chip Test Cut+Cable,"EC077F
P10246741",,S3-23,V,4,,,,,,"2009/4/13
2008/10/23",,2014/1/16,,
"198060-01
198942-01",Chip Test Cut+Cable,"EC0781
P10246744",,C1-22,S,4,,,,,,"2009/4/13
2008/8/29",,,,
"198060-01
198942-01",Chip Test Cut+Cable,"EC0777
P10246735",,C1-21,S,4,,,,,,"2009/4/13
2008/8/29",,,,
783969-35,Communication Systems: Lab Based Learning with NI USRP and LabVIEW Communications,783969-35-01,,C2,S,4,,,,,,2015/10/6,,2015/10/14,,
783969-35,Communication Systems: Lab Based Learning with NI USRP and LabVIEW Communications,783969-35-02,,C2,S,4,,,,,,2015/10/6,,2015/10/14,,
182845A-01,"Converter cable, modular phone jack-to-DB-9 male",Cable 065,,右3,L,00,正崴精密／陳思攸,171012-134956,Derek H,2017/10/12,2017/11/14,,,2015/12/18,,
182845A-01,"Converter cable, modular phone jack-to-DB-9 male",Cable 066,,右3,L,2,Vivian S,,Vivian H,2007/9/11,,,,2007/9/11,,
182845B-01,"Converter cable, modular phone jack-to-DB-9 male",Cable 104,,右3,L,2,Vivian S,,Vivian H,2007/9/11,,,,2007/9/11,,
182845-01,10-Position Plug to 9-Pin D-SUB Male,Cable 647,,右4,S,4,,,,,,2015/9/1,,2018/9/6,,
145230A-05,M12 to RJ45 Cable,Cable 470,,D4,S,4,,,,,,2017/10/25,,2018/6/27,,
145230A-05,M12 to RJ45 Cable,Cable 471,,D4,S,4,,,,,,2017/10/25,,2018/6/27,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700195 A1,,郭皇志,V,4,,,,,,2008/8/13,,,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700185 A1,,庫-楊岳庭,V,2,Rebecca L,,Vivian H,2019/8/23,,2008/8/13,,2018/8/13,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700189 A1,,Jack,V,4,,,,,,2008/8/13,,2018/2/23,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700181 A1,,林沛彥,V,4,,,,,,2008/8/13,,,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700194 A1,,ISE(07)-Steve,V,4,,,,,,2008/8/13,,,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700190 A1,,庫-RAE(M7)-Paul,V,4,,,,,,2008/8/13,,2017/8/25,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700196 A1,,FSE(N5)-Marvin,D,7,,,,,,2008/8/13,,,,
CG-SW05GTPLX,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1106080700182 A1,,FSE(M6)-Tom,V,4,,,,,,2008/8/13,,,,
CG-SW05GTPLB,"Corega 5-Port+電源
(10/100/1000Mbps Switch)",10T1104070700104,,FSE(M5)-Ethan,V,4,,,,,,2008/4/25,,,,
778762-01,"Courseware, Digital Image Processing  ",N/A,,庫-ISR(02)-Eric C,V,4,,,,,,2008/5/16,,2015/9/16,,
778610-01,"Courseware, Electric Circuits and Machines Laboratory w/ LabVIEW Course Manual kit, includes CD with accompanying software ",N/A,,庫-ISR(02)-Eric C,V,4,,,,,,2008/6/2,,2015/9/16,,
778611-01,"Courseware, Fundamentals of Analog Electronics Manual Includes a CD with accompanying software ",N/A,,庫-ISR(02)-Eric C,V,4,,,,,,2008/6/2,,2015/9/16,,
777718-01,"Courseware, Fundamentals of Digital Electronics Manual includes a CD with accompanying software ",N/A,,庫-ISR(02)-Eric C,V,4,,,,,,2008/6/2,,2015/9/16,,
158954D-24,CP36-C68-D4-B,Cable 1187,"保護蓋*1
螺絲*2",S4,V,4,,,,,,2016/7/4,,2017/12/28,,
158954D-24,CP36-C68-D4-B,Cable 1188,"保護蓋*1 2017/12/28 遺失
螺絲*2",S4,V,4,,,,,,2016/7/4,,2017/12/28,,
156242-24,CP36-MCX18,7664-5-01,"保護蓋*1
螺絲*2 2017/12/28 遺失",SEMI,V,2,Benson,,Vivian H,2017/12/28,,2017/2/17,,2017/12/28,,
156243B-24,CP36-SMB18,6252-12-03,,MTK,V,2,Ethan N,,Vivian H,2015/8/17,,2015/8/14,,2015/8/17,,
156249-32,CP36-SMA18,8544-3-19,"保護蓋*1
螺絲*2",ME-Fred,V,4,,,,,,2018/7/23,,2019/10/30,,
158954-32,CP36-C38-D4,8544-2-14,"保護蓋*1
螺絲*2",ME-Fred,V,4,,,,,,2018/7/26,,2019/10/30,,
CP5-01-GLAM,CP5-GLAM,40010368,,庫-FSE(N3)-Andy,V,4,,,,,,2013/9/3,,2015/9/16,,
Conduant,CPCI-425,400300123\2-1001,,C3,S,4,,,,,,2008/6/12,,,,
784307-01,CPS-8910(Cabled PCIe Switch box *4 10 Port),246876,Power Supply*1,庫-ADR-Blake,V,4,,,,,,2016/3/22,,2019/3/15,,
,cRIO Demo,cRIO Demo,,Even 6,S,4,,,,,,2008/2/18,,,Andy,
783460-01,cRIO Demo Kit,1BB17E5,"9608(S/N:1B9D50B)
9503(S/N:1B82104)
9401(S/N:1BAFDB5)
9411(S/N:1BAE822)
9381(S/N:1B9B033)
9232(S/N:1BABF96)
9219(S/N:1BA9401)
9225(S/N:1B297D9)
9227(S/N:1B9C3D3)
LED ROTARY DISC(S/N:1B8341B)
748942-01 Motor NEMA 23(S/N:1B2459F)
783462-01(S/N:HC3068177)",RAE(M10)-Harvey,V,2,Andy P,,Vivian H,2019/6/27,,2016/12/21,,2019/6/27,,
自製,cRIO GPS 模組,AW0429473,,B1-39,S,4,,,,,,,,,Andy,
SEA,cRIO GSM/GPS 模組,0002 0012,"1.cRIO GSM/GPS 模組(0002 0012)
2.光碟(2.0.3 for LV 8.x) 2019/3/26 Sean T
3.GPS Antenna-1
4.GPS Antenna-2(607704)
5.GPS Power Supply Connector*3
6.Operation Instructions and Safety Guidelines
7.User Manual(HB cRIO Combo-1/2.0/Jun. 06) 2019/3/26 Sean T",左3,L,2,Sean T,,Vivian H,2019/6/4,,2006/12/6,,2019/6/4,,
,"cRIO
(9014.9103.9215.9263.9411.9401)",1287EE5,,郭皇志,V,4,,,,,,,,,,
,"cRIO
(9014.9103.9215.9263.9411.9474.9935)",1139B8A,,左3,L,2,Steve,,Vivian H,2012/3/26,,,,2012/3/26,,
,"cRIO
(9014.9103.9215.9263.9411.9474.9935)",1141008,,FSE(M6)-Tom,V,4,,,,,,,,,,
,"cRIO
(9014.9103.9233.9477.9425.9263)",12D2681,,,V,4,,,,,,,,,,
779055-01,cRIO-9004,E4F1FD,,E3,S,4,,,,,,2006/7/25,,,Andy,
779055-01,cRIO-9004,E16864,,E3,S,4,,,,,,2005/7/27,,,Andy,
779055-01,cRIO-9004,E16872,,E3,S,4,,,,,,2005/6/27,,,Andy,
"779055-01
779053-01",cRIO-9004+9103,"E21AE9
116614A",,SDR-Control design,V,4,,,,,,"2005/11/7
2005/11/7",,,Andy,
"779055-01
779053-01",cRIO-9004+9103,"E4F247
11EC4DF",,MDR-二軸同動馬達,V,4,,,,,,"2006/7/25
2006/7/25",,,Andy,
"779055-01
779053-01",cRIO-9004+9103,"E632A0
12D266A",電源線*1,E3,L,2,Lupin,,Vivian H,2011/6/10,,"2006/12/19
2009/6/11",,2011/6/10,Andy,
779563-01,cRIO-9012,136B243,,E3,S,4,,,,,,2008/11/17,,2016/2/24,,
教室用cRIO,"cRIO-9012+9103+9901
(9211.9233.9263)",12B2317,,TR0,V,4,,,,,,,,2012/4/19,AE Keep,
"779563-01
779053-01
777584-01",cRIO-9012+9103+PS-2,"E7755D
1283ACC
1270BC1",,庫-FSE(N1)-Wayne,V,4,,,,,,"2007/3/16
2007/3/21
2007/4/16",,,AE Keep,
"779563-01
779053-01
777584-01",cRIO-9012+9103+PS-2,"E7754C
131A5F7
1285D01",,FSE(N5)-Marvin,V,4,,,,,,"2007/3/16
2008/2/13
2007/4/16",,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B22F2,,TR9,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B232D,,TR8,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12A63DE,,TR7,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B2301,,TR6,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B22F0,,TR5,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B2305,,TR4,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B22FB,,TR3,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12A63DC,,TR2,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9012+9103+PS-2+9901
(9211.9233.9263.9474)",12B22ED,,TR1,V,4,,,,,,,,,AE Keep,
"779563-01
779054-01",cRIO-9012+9104,"E755C7
1177D85",,E3,S,4,,,,,,"9012-2007/3/16 入庫
9104-2006/9/13KK從美國帶回",,2016/4/11,,
"779563-01
780916-01
777584-01",cRIO-9012+9112+PS-2,"142E150
1440B31
1455C74",電源線*1,凱茂／吳惠紋 ,V,4,,,,,,"2009/10/7
2009/10/7
2009/9/21",,2009/10/19,,
779564-01,cRIO-9014,1329CBC,,SDR-cRIO Motion,V,4,,,,,,2008/2/15,,2015/9/16,,
779564-01,cRIO-9014,E7A236,,E3,S,4,,,,,,2007/6/23,,2019/5/30,,
779564-01,cRIO-9014,15E5480,,E3,S,4,,,,,,2011/7/15,,2019/6/4,,
"779564-01
779053-01",cRIO-9014+9103,"E7A246
1141008",,庫-FSE(M6)-Tom,V,4,,,,,,"2007/6/23
2005/7/27",,2015/9/16,,
"779564-01
779053-01",cRIO-9014+9103,"E7394D
11EC4DC",,FSE(S2)-Ronland,V,4,,,,,,"2007/6/23
2006/7/25",,,,
"779564-01
779053-01",cRIO-9014+9103,"13E11AA
13C8367",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2008/11/21
2008/11/21",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"E7A286
1140FFD",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2007/6/23
2005/7/27",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"131A430
131A5FE",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2008/2/12
2008/2/12",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"131A427
131A5F1",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2008/2/12
2008/2/12",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"131E062
1283ACA",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2007/2/13
2007/3/21",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"1303400
13052B5",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2007/12/12
2007/12/12",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"E7BFCF
1139B88",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2007/6/23
2006/3/27",,2017/3/14,,
"779564-01
779053-01",cRIO-9014+9103,"E7BFD6
136063E",,E3,L,2,Harvey,,Vivian H,2017/3/14,,"2007/6/23
2008/8/20",,2017/3/14,,
"779564-01
779053-01
777584-01",cRIO-9014+9103+PS-2,"E7A22C
1262FB8
13C1219",,庫-MDR-Lock-in Amplifier,V,4,,,,,,"2007/6/23
2007/3/9
2008/12/17",,2016/10/4,AE Keep,
"779564-01
779053-01",cRIO-9014+9103,"E7BFBA
12B231D",,E2,S,4,,,,,,"2007/5/17
2007/6/22
2007/6/23",,2018/12/11,AE Keep,
"779564-01
779053-01
777584-01
779473-01",cRIO-9014+9103+PS-2+9901,"146CA01
11271E8
1270BBA
E482F7",,庫-RAE(N3)-Steve,V,4,,,,,,"2010/5/6
2005/7/27
2007/4/16
2006/5/18",,,AE Keep,
"779564-01
779053-01
777584-01
779473-01",cRIO-9014+9103+PS-2+9901,"E94203
12D265D
12CA12A
HA5557402",電源線*1,KDR-中鋼-王智中,V,4,,,,,,"2007/9/19
2007/9/12
2007/9/11
2007/9/12",,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",1417290,,YR9,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",13E7A7B,,YR8,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",13FED6F,,YR7,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",1407CDD,,YR6,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",141728E,,YR5,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",1417280,,YR4,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",12EE7B0,,YR3,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",140B919,,YR2,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",1417275,,YR1,V,4,,,,,,,,,AE Keep,
教室用cRIO,"cRIO-9014+9103+PS-2+9901
(9211.9233.9263)",1417285,,YR0,V,4,,,,,,,,,AE Keep,
"779564-01
779054-01
777584-01
779473-01",cRIO-9014+9104+PS-2+9901,"13620ED
124560E
12B8CCC
HA7210867",電源線*1,FSE(S2)-Ronland,V,4,,,,,,"2008/10/16
2008/10/16
2008/10/16
2008/10/16",,2015/9/16,,
780718-01,cRIO-9022,13F7925,,E3,S,4,,,,,,2009/3/9,,2019/6/4,,
780718-01,cRIO-9022,13F790F,,ADR-Welly,V,4,,,,,,2009/4/22,,2018/3/30,,
"780718-01
779053-01",cRIO-9022+9103,"13F78EF
13E7A6D",,E3,S,4,,,,,,"2009/3/19
2009/3/19",,2018/12/11,,
"780718-01
780919-01",cRIO-9022+9116,"13F7918
140467A",,E3,S,4,,,,,,"2009/4/22
2009/4/22",,2017/4/19,,
781174-01,cRIO-9024,14678A3,,睿柏,V,2,Steve,,Vivian H,2012/10/5,,2009/11/6,,2012/10/5,,
"781174-01
780917-01",cRIO-9024+9113,"1548AE7
15212FD",,庫-ME-Jimmy,V,4,,,,,,"2010/11/8
2010/11/8",,,,
"781174-01
780918-01
781093-01",cRIO-9024+9114+PS-15,"1491699
151CC31
6884185",,TR0,V,4,,,,,,"2009/12/28
2010/10/20
2012/7/5",,2019/7/29,,
"781174-01
780920-01",cRIO-9024+9118,"149169B
148B001",電源線*1,FSE(M1)-Andrew,V,4,,,,,,"2009/12/28
2009/12/16",,2014/1/16,,
"781174-01
780920-01",cRIO-9024+9118,"14916AC
148AFF8",,E3,S,4,,,,,,"2009/12/28
2009/12/21",,2019/3/20,,
"781174-01
780920-01",cRIO-9024+9118,"147EED8
148AFFF",,E2,S,4,,,,,,"2009/12/28
2009/12/21",,2015/9/16,,
781313-01,cRIO-9025,15CC9A0,,庫-ME-Kevin,V,4,,,,,,2011/6/28,,2017/2/18,,
